#Energy, Pressure
143.71066557412786, 3.2658643639986167
155.65346067061978, 5.7039530758374895
163.18455160833292, 13.548212505341212
162.60523692081654, 0.9688078621279601
191.57097129663646, 28.37904468412944
204.3158944219972, 34.02548199557168
211.26767067219396, 35.56217063096426
239.0747756729811, 51.60805894006296
251.81969879834185, 57.64760264660572
285.419950674293, 75.69475987621547
298.1648737996537, 81.87725136279471
332.9237550506376, 100.74635832761453
345.66867817599837, 107.14327148424854
379.2689300519494, 125.79795677901359
392.01385317731024, 132.33781771568414
426.77273442829403, 152.02887441571391
439.5176575536549, 158.74742007743004
473.1179094296059, 178.1168442723777
485.86283255496664, 184.90686382411212
520.6217138059505, 205.0267638642514
533.3666369313113, 212.0312050860406
566.9668888072624, 232.11536818117077
579.7118119326232, 239.15554634796905
614.4706931836071, 259.8115005632453
627.2156163089678, 266.8516787300436
660.8158681849189, 287.32894822027424
673.5607913102797, 294.4763372220999
707.1610431862308, 315.2037653273944
719.9059663115916, 322.315417384211
754.6648475625755, 343.61463660965154
767.4097706879361, 350.7262886664681
958.0043028808311, 468.76541803161933
960.9008763184131, 459.3308645492094
988.7079813192004, 488.49221167665826
997.9770163194626, 493.9242273180458
