C,29980000000,29980000000,,,,,,,,,
erg_2_Mev,624150.647996,,,,,,,,,,
cm_2_Fermi,10000000000000,,,,,,,,,,
Epsilon_0,1391.247,,,,,,,,,,
,,,,,,,,,,,
#rho, pressure, nB,,epsilon,,epsilon, pressure, nB,,epsilon_bar, pressure_bar
#[g/cm^3],[erg/cm^3], [cm^-3],,[erg/cm^3],,[MeV/fm^3],[MeV/fm^3], [fm^-3],,,
1.4E+016,3.41E+037,9.87E+038,,1.25832056E+037,,7853.816,21283.537,0.987,,5.6451629366,15.2981727903
1.3E+016,2.56E+037,1.8E+039,,1.16844052E+037,,7292.829,15978.257,1.8,,5.2419369098,11.4848456097
1.2E+016,1.93E+037,2.27E+039,,1.07856048E+037,,6731.842,12046.108,2.27,,4.8387108831,8.6584970174
1.1E+016,1.46E+037,2.49E+039,,9.8868044E+036,,6170.855,9112.599,2.49,,4.4354848564,6.549950512
1E+016,1.13E+037,2.53E+039,,8.988004E+036,,5609.869,7052.902,2.53,,4.0322595484,5.0694822702
9E+015,8.84E+036,2.45E+039,,8.0892036E+036,,5048.882,5517.492,2.45,,3.6290335217,3.9658608428
8E+015,7.04E+036,2.3E+039,,7.1904032E+036,,4487.895,4394.021,2.3,,3.225807495,3.1583327763
7E+015,5.65E+036,2.11E+039,,6.2916028E+036,,3926.908,3526.451,2.11,,2.8225814683,2.5347411351
6E+015,4.48E+036,1.91E+039,,5.3928024E+036,,3365.921,2796.195,1.91,,2.4193554416,2.0098479997
5E+015,3.42E+036,1.71E+039,,4.494002E+036,,2804.934,2134.595,1.71,,2.0161294148,1.5343033983
4.05E+015,2.47E+036,1.5E+039,,3.64014162E+036,,2271.997,1541.652,1.5,,1.6330651567,1.1081080498
3.61E+015,2.05E+036,1.4E+039,,3.244669444E+036,,2025.163,1279.509,1.4,,1.4556459062,0.919685002
3.21E+015,1.67E+036,1.3E+039,,2.885149284E+036,,1800.768,1042.332,1.3,,1.2943553517,0.7492070064
2.83E+015,1.34E+036,1.2E+039,,2.543605132E+036,,1587.593,836.362,1.2,,1.1411295047,0.6011599666
2.48E+015,1.05E+036,1.1E+039,,2.229024992E+036,,1391.247,655.358,1.1,,1,0.4710579789
2.16E+015,8.02E+035,1E+039,,1.941408864E+036,,1211.732,500.569,1,,0.8709682752,0.3597987992
2.01E+015,6.93E+035,9.5E+038,,1.806588804E+036,,1127.584,432.536,0.95,,0.8104844072,0.3108980648
1.87E+015,5.95E+035,9E+038,,1.680756748E+036,,1049.045,371.37,0.9,,0.754032174,0.2669331902
1.73E+015,5.05E+035,8.5E+038,,1.554924692E+036,,970.507,315.196,0.85,,0.6975806597,0.2265564634
1.6E+015,4.26E+035,8E+038,,1.43808064E+036,,897.579,265.888,0.8,,0.645161499,0.1911148775
1.47E+015,3.54E+035,7.5E+038,,1.321236588E+036,,824.651,220.949,0.75,,0.5927423383,0.1588136398
1.35E+015,2.91E+035,7E+038,,1.21338054E+036,,757.332,181.628,0.7,,0.5443548126,0.1305505061
1.28E+015,2.56E+035,6.7E+038,,1.150464512E+036,,718.063,159.783,0.67,,0.5161290554,0.1148487652
1.21E+015,2.24E+035,6.4E+038,,1.087548484E+036,,678.794,139.81,0.64,,0.4879032983,0.1004925797
1.14E+015,1.95E+035,6.1E+038,,1.024632456E+036,,639.525,121.709,0.61,,0.4596775411,0.0874819496
1.08E+015,1.68E+035,5.8E+038,,9.70704432E+035,,605.866,104.857,0.58,,0.4354841376,0.0753690754
1.01E+015,1.43E+035,5.49E+038,,9.07788404E+035,,566.597,89.254,0.549,,0.4072583804,0.0641539568
947000000000000,1.22E+035,5.2E+038,,8.511639788E+035,,531.255,76.146,0.52,,0.3818552708,0.0547321935
885000000000000,1.02E+035,4.9E+038,,7.95438354E+035,,496.473,63.663,0.49,,0.3568546779,0.0457596674
824000000000000,8.4E+034,4.6E+038,,7.406115296E+035,,462.253,52.429,0.46,,0.332258039,0.0376848971
765000000000000,6.82E+034,4.3E+038,,6.87582306E+035,,429.155,42.567,0.43,,0.3084678709,0.0305962924
707000000000000,5.45E+034,4E+038,,6.354518828E+035,,396.618,34.016,0.4,,0.2850809382,0.0244500078
650000000000000,4.26E+034,3.71E+038,,5.8422026E+035,,364.641,26.589,0.371,,0.262096522,0.0191116315
593000000000000,3.27E+034,3.41E+038,,5.329886372E+035,,332.665,20.41,0.341,,0.2391128247,0.0146702922
538000000000000,2.45E+034,3.11E+038,,4.835546152E+035,,301.811,15.292,0.311,,0.2169355981,0.0109915781
484000000000000,1.8E+034,2.8E+038,,4.350193936E+035,,271.518,11.235,0.28,,0.1951616068,0.0080754891
430000000000000,1.33E+034,2.5E+038,,3.86484172E+035,,241.224,8.301,0.25,,0.1733868968,0.0059665897
377000000000000,1.02E+034,2.2E+038,,3.388477508E+035,,211.492,6.366,0.22,,0.1520161409,0.0045757511
324000000000000,8.81E+033,1.89E+038,,2.912113296E+035,,181.76,5.499,0.189,,0.130645385,0.0039525692
