#mass density[g/cm^3],  pressure [erg/cm^3],  baryonic_density [1/fm^3]
1.78266E+015, 4.12290E+035, 1
1.76826E+015, 4.07974E+035, 1
1.75385E+015, 4.03658E+035, 1
1.73945E+015, 3.99343E+035, 1
1.72504E+015, 3.95027E+035, 1
1.71064E+015, 3.90712E+035, 1
1.69623E+015, 3.86396E+035, 1
1.68183E+015, 3.82080E+035, 1
1.66742E+015, 3.77765E+035, 1
1.65301E+015, 3.73449E+035, 1
1.63861E+015, 3.69134E+035, 1
1.62420E+015, 3.64818E+035, 1
1.60980E+015, 3.60502E+035, 1
1.59539E+015, 3.56187E+035, 1
1.58099E+015, 3.51871E+035, 1
1.56658E+015, 3.47556E+035, 1
1.55218E+015, 3.43240E+035, 1
1.53777E+015, 3.38925E+035, 1
1.52337E+015, 3.34609E+035, 1
1.50896E+015, 3.30293E+035, 1
1.49456E+015, 3.25978E+035, 1
1.48015E+015, 3.21662E+035, 1
1.46574E+015, 3.17347E+035, 1
1.45134E+015, 3.13031E+035, 1
1.43693E+015, 3.08715E+035, 1
1.42253E+015, 3.04400E+035, 1
1.40812E+015, 3.00084E+035, 1
1.39372E+015, 2.95769E+035, 1
1.37931E+015, 2.91453E+035, 1
1.36491E+015, 2.87138E+035, 1
1.35050E+015, 2.82822E+035, 1
1.33610E+015, 2.78506E+035, 1
1.32169E+015, 2.74191E+035, 1
1.30729E+015, 2.69875E+035, 1
1.29288E+015, 2.65560E+035, 1
1.27848E+015, 2.61244E+035, 1
1.26407E+015, 2.56928E+035, 1
1.24966E+015, 2.52613E+035, 1
1.23526E+015, 2.48297E+035, 1
1.22085E+015, 2.43982E+035, 1
1.20645E+015, 2.39666E+035, 1
1.19204E+015, 2.35350E+035, 1
1.17764E+015, 2.31035E+035, 1
1.16323E+015, 2.26719E+035, 1
1.14883E+015, 2.22404E+035, 1
1.13442E+015, 2.18088E+035, 1
1.12002E+015, 2.13773E+035, 1
1.10561E+015, 2.09457E+035, 1
1.09121E+015, 2.05141E+035, 1
1.07680E+015, 2.00826E+035, 1
1.06239E+015, 1.96510E+035, 1
1.04799E+015, 1.92195E+035, 1
1.03358E+015, 1.87879E+035, 1
1.01918E+015, 1.83563E+035, 1
1.00477E+015, 1.79248E+035, 1
9.90368E+014, 1.74932E+035, 1
9.75963E+014, 1.70617E+035, 1
9.61557E+014, 1.66301E+035, 1
9.47152E+014, 1.61986E+035, 1
9.32747E+014, 1.57670E+035, 1
9.18341E+014, 1.53354E+035, 1
9.03936E+014, 1.49039E+035, 1
8.89531E+014, 1.44723E+035, 1
8.75125E+014, 1.40408E+035, 1
8.60720E+014, 1.36092E+035, 1
8.46315E+014, 1.31776E+035, 1
8.31909E+014, 1.27461E+035, 1
8.17504E+014, 1.23145E+035, 1
8.03099E+014, 1.18830E+035, 1
7.88693E+014, 1.14514E+035, 1
7.74288E+014, 1.10198E+035, 1
7.59882E+014, 1.05883E+035, 1
7.45477E+014, 1.01567E+035, 1
7.31072E+014, 9.72517E+034, 1
7.16666E+014, 9.29361E+034, 1
7.02261E+014, 8.86206E+034, 1
6.87856E+014, 8.43050E+034, 1
6.73450E+014, 7.99894E+034, 1
6.59045E+014, 7.56738E+034, 1
6.44640E+014, 7.13582E+034, 1
6.30234E+014, 6.70426E+034, 1
6.15829E+014, 6.27270E+034, 1
6.01424E+014, 5.84115E+034, 1
5.87018E+014, 5.40959E+034, 1
5.72613E+014, 4.97803E+034, 1
5.58208E+014, 4.54647E+034, 1
5.43802E+014, 4.11491E+034, 1
5.29397E+014, 3.68335E+034, 1
5.14991E+014, 3.25179E+034, 1
5.00586E+014, 2.82024E+034, 1
4.86181E+014, 2.38868E+034, 1
4.71775E+014, 1.95712E+034, 1
4.57370E+014, 1.52556E+034, 1
4.42965E+014, 1.09400E+034, 1
4.28559E+014, 6.62442E+033, 1
4.14154E+014, 2.30884E+033, 1
3.99749E+014, -2.00675E+033, 1
3.85343E+014, -6.32233E+033, 1
3.70938E+014, -1.06379E+034, 1
3.56533E+014, -1.49535E+034, 1
