# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3]
1000.0, 257.33076, 1
991.919191919, 254.637184242, 1
983.838383838, 251.943608485, 1
975.757575758, 249.250032727, 1
967.676767677, 246.55645697, 1
959.595959596, 243.862881212, 1
951.515151515, 241.169305455, 1
943.434343434, 238.475729697, 1
935.353535354, 235.782153939, 1
927.272727273, 233.088578182, 1
919.191919192, 230.395002424, 1
911.111111111, 227.701426667, 1
903.03030303, 225.007850909, 1
894.949494949, 222.314275152, 1
886.868686869, 219.620699394, 1
878.787878788, 216.927123636, 1
870.707070707, 214.233547879, 1
862.626262626, 211.539972121, 1
854.545454545, 208.846396364, 1
846.464646465, 206.152820606, 1
838.383838384, 203.459244848, 1
830.303030303, 200.765669091, 1
822.222222222, 198.072093333, 1
814.141414141, 195.378517576, 1
806.060606061, 192.684941818, 1
797.97979798, 189.991366061, 1
789.898989899, 187.297790303, 1
781.818181818, 184.604214545, 1
773.737373737, 181.910638788, 1
765.656565657, 179.21706303, 1
757.575757576, 176.523487273, 1
749.494949495, 173.829911515, 1
741.414141414, 171.136335758, 1
733.333333333, 168.44276, 1
725.252525253, 165.749184242, 1
717.171717172, 163.055608485, 1
709.090909091, 160.362032727, 1
701.01010101, 157.66845697, 1
692.929292929, 154.974881212, 1
684.848484848, 152.281305455, 1
676.767676768, 149.587729697, 1
668.686868687, 146.894153939, 1
660.606060606, 144.200578182, 1
652.525252525, 141.507002424, 1
644.444444444, 138.813426667, 1
636.363636364, 136.119850909, 1
628.282828283, 133.426275152, 1
620.202020202, 130.732699394, 1
612.121212121, 128.039123636, 1
604.04040404, 125.345547879, 1
595.95959596, 122.651972121, 1
587.878787879, 119.958396364, 1
579.797979798, 117.264820606, 1
571.717171717, 114.571244848, 1
563.636363636, 111.877669091, 1
555.555555556, 109.184093333, 1
547.474747475, 106.490517576, 1
539.393939394, 103.796941818, 1
531.313131313, 101.103366061, 1
523.232323232, 98.409790303, 1
515.151515152, 95.7162145455, 1
507.070707071, 93.0226387879, 1
498.98989899, 90.3290630303, 1
490.909090909, 87.6354872727, 1
482.828282828, 84.9419115152, 1
474.747474747, 82.2483357576, 1
466.666666667, 79.55476, 1
458.585858586, 76.8611842424, 1
450.505050505, 74.1676084848, 1
442.424242424, 71.4740327273, 1
434.343434343, 68.7804569697, 1
426.262626263, 66.0868812121, 1
418.181818182, 63.3933054545, 1
410.101010101, 60.699729697, 1
402.02020202, 58.0061539394, 1
393.939393939, 55.3125781818, 1
385.858585859, 52.6190024242, 1
377.777777778, 49.9254266667, 1
369.696969697, 47.2318509091, 1
361.616161616, 44.5382751515, 1
353.535353535, 41.8446993939, 1
345.454545455, 39.1511236364, 1
337.373737374, 36.4575478788, 1
329.292929293, 33.7639721212, 1
321.212121212, 31.0703963636, 1
313.131313131, 28.3768206061, 1
305.050505051, 25.6832448485, 1
296.96969697, 22.9896690909, 1
288.888888889, 20.2960933333, 1
280.808080808, 17.6025175758, 1
272.727272727, 14.9089418182, 1
264.646464646, 12.2153660606, 1
256.565656566, 9.52179030303, 1
248.484848485, 6.82821454545, 1
240.404040404, 4.13463878788, 1
232.323232323, 1.4410630303, 1
224.242424242, -1.25251272727, 1
216.161616162, -3.94608848485, 1
208.080808081, -6.63966424242, 1
200.0, -9.33324, 1
